Author 1, Author 2, P(1->2), P(2->1),P(1->2)*P(2->1),(P(1->2)+P(2->1))/2, (P(1->2)^2+P(2->1)^2)/2
88658 ,88945 ,0.0104884052074,0.00922164605339,9.67203604871e-05,0.00985502563039,9.75226998642e-05
88658 ,88946 ,0.00775987535445,0.00350491448436,2.71976995266e-05,0.0056323949194,3.62500455296e-05
88658 ,88979 ,0.014492880736,0.0124586153243,0.000180561226031,0.0134757480302,0.000182630343914
88658 ,88980 ,0.00304997206101,0.0136547861768,4.16467163383e-05,0.0083523791189,9.78777575535e-05
88658 ,89018 ,0.00330183409357,0.00769964940386,2.54229649102e-05,0.00550074174871,3.50933546619e-05
88658 ,89019 ,0.00728698751643,0.0231854267917,0.000168951915594,0.0152362071541,0.000295332101288
88658 ,89174 ,0.00739727818832,0.00658254935792,4.86929487889e-05,0.00698991377312,4.90248403225e-05
88658 ,89175 ,0.00563096776043,0.00665907579529,3.74970411175e-05,0.00614502177786,3.80255441832e-05
88658 ,89189 ,0.0143626320227,0.0188379108622,0.00027056198179,0.0166002714424,0.000280576042136
88658 ,89211 ,0.00743718129746,0.0119749247381,8.90596863008e-05,0.00970605301779,9.93552440674e-05
88658 ,89212 ,0.0105163996332,0.00794293515075,8.35310803055e-05,0.00922966739195,8.68424400266e-05
88658 ,89241 ,0.0087392710451,0.00915097539029,7.99728542628e-05,0.00894512321769,8.00576044967e-05
88658 ,89242 ,0.0064617127721,0.00290347822052,1.87614423011e-05,0.00468259549631,2.50919588631e-05
88658 ,89658 ,0.00656750195016,0.00460879675323,3.02682816647e-05,0.00558814935169,3.2186544689e-05
88658 ,89659 ,0.0133905573648,0.0113905608014,0.000152525957829,0.0123905590831,0.000154525950956
88658 ,90191 ,0.00331428739426,0.00721905090485,2.39260094124e-05,0.00526666914955,3.15495984493e-05
88658 ,90192 ,0.0173961018371,0.0351480950384,0.000611439840666,0.0262720984377,0.000769006471976
88658 ,90193 ,0.00301582470378,0.00838720503017,2.52943401257e-05,0.00570151486698,3.9720203431e-05
88658 ,90194 ,0.00700171577555,0.0174151601893,0.000121936001831,0.0122084379824,0.00017615591411
88658 ,90227 ,0.00431729261604,0.00324721885241,1.40191939742e-05,0.00378225573422,1.4591722904e-05
88658 ,90228 ,0.00318358443071,0.00921265833074,2.93292756272e-05,0.00619812138072,4.75041416732e-05
88658 ,90236 ,0.0270547705709,0.0158610678165,0.000429117550783,0.0214579191937,0.000491767041461
88658 ,90237 ,0.00819994708998,0.0210151485239,0.000172323105984,0.0146075478069,0.000254437799879
88658 ,90383 ,0.00914553650339,0.00985106599814,9.00932836832e-05,0.00949830125076,9.03421696172e-05
88658 ,90384 ,0.0123709526569,0.00580090801126,7.17627583741e-05,0.00908593033406,9.33455016967e-05
88673 ,88674 ,0.143963154058,0.0660150460285,0.00950373424153,0.104989100043,0.0125416880142
88673 ,88693 ,0.00459009038581,0.00496448422257,2.27874313005e-05,0.00477728730419,2.2857516673e-05
88673 ,88694 ,0.00127523474469,0.00251782771432,3.21082138245e-06,0.0018965312295,3.98284002653e-06
88673 ,88700 ,0.0118966542069,0.00371144790074,4.4153812282e-05,0.00780405105382,7.76526134192e-05
88673 ,88701 ,0.00407776907291,0.00414739870288,1.69121341636e-05,0.0041125838879,1.69145583063e-05
88673 ,88705 ,0.000807469302498,0.000800669598937,6.46516122585e-07,0.000804069450718,6.4653924057e-07
88673 ,88706 ,0.0211735203994,0.0020243672243,4.28629807196e-05,0.0115989438119,0.000226208014382
88673 ,88707 ,0.0012744225564,0.00284193922712,3.62183145495e-06,0.00205818089176,4.85038571144e-06
88673 ,88708 ,0.00152275924422,0.00261213866466,3.9776582988e-06,0.00206744895444,4.57103205964e-06
88673 ,88711 ,0.00240069060114,0.00334457003704,8.02927785276e-06,0.00287263031909,8.47473204752e-06
88673 ,88712 ,0.000992423023157,0.00301338466406,2.99055231824e-06,0.00200290384361,5.03269529525e-06
88673 ,88721 ,0.00196922473065,0.0019355738782,3.81157994894e-06,0.00195239930442,3.81214613888e-06
88673 ,88722 ,0.00560479171778,0.00174664458593,9.78957910913e-06,0.00367571815186,1.72322287546e-05
88673 ,88725 ,0.0522051131835,0.0159175034828,0.000830975070919,0.0340613083332,0.00148937037981
88673 ,88726 ,0.00306341094955,0.00426885683971,1.30772627848e-05,0.00366613389463,1.38038126819e-05
88673 ,88789 ,0.00431200194911,0.00321970652025,1.38833807909e-05,0.00376585423468,1.44799354428e-05
88673 ,88790 ,0.00521364766957,0.00325291218819,1.69595380493e-05,0.00423327992888,1.88817798633e-05
88673 ,88799 ,0.00538925454442,0.00481229472022,2.593468119e-05,0.00510077463232,2.61011225094e-05
88673 ,88800 ,0.0124932423548,0.00252166146287,3.15037277923e-05,0.00750745190882,8.12199405342e-05
88673 ,88801 ,0.0102710409782,0.00295329367365,3.03334003426e-05,0.00661216732592,5.71081131492e-05
88673 ,88802 ,0.00930491424212,0.00422504059884,3.93136404417e-05,0.00676497742048,5.22161985575e-05
88673 ,88804 ,0.0132407022477,0.00489498212056,6.48130007662e-05,0.00906784218413,9.96385229865e-05
88673 ,88805 ,0.0140933011166,0.00640894296242,9.03231630087e-05,0.0102511220395,0.00011984784313
88673 ,88833 ,0.00546846768256,0.00340757313749,1.86342035783e-05,0.00443802041003,2.07578467413e-05
88673 ,88834 ,0.00321204450107,0.00381360640015,1.22494734668e-05,0.00351282545061,1.24304118261e-05
88673 ,88835 ,0.00488241042402,0.0040667099623,1.98553471114e-05,0.00447456019316,2.0188030733e-05
88673 ,88836 ,0.00498826289711,0.00412389780072,2.05710863908e-05,0.00455608034892,2.09446499007e-05
88673 ,88838 ,0.00364986167979,0.00510643980556,1.86377989665e-05,0.00437815074268,1.96986088847e-05
88673 ,88839 ,0.0129992825855,0.00324479076291,4.21799520577e-05,0.00812203667418,8.97550074158e-05
88673 ,88840 ,0.00326347158183,0.00350583041856,1.14411779417e-05,0.00338465100019,1.14705468445e-05
88673 ,88841 ,0.00741595973329,0.004654251976,3.45157452426e-05,0.00603510585464,3.83292601109e-05
88673 ,88915 ,0.00367690517434,0.0020950576014,7.70332813513e-06,0.00288598138787,8.95444900714e-06
88673 ,88916 ,0.00257906643637,0.00241884655238,6.23836595797e-06,0.00249895649438,6.25120116359e-06
88673 ,88940 ,0.0259622924642,0.00481489712977,0.000125005767468,0.015388594797,0.000348611932184
88673 ,88941 ,0.0028188085041,0.00212111390763,5.97901392098e-06,0.00246996120586,6.22240279596e-06
88673 ,88943 ,0.00426692303595,0.00136139922184,5.80898570078e-06,0.00281416112889,1.0030020018e-05
88673 ,88944 ,0.00780444427246,0.00206383685252,1.61070997029e-05,0.00493414056249,3.25843864779e-05
88673 ,88945 ,0.00830237829585,0.000944031942019,7.837710306e-06,0.00462320511893,3.49103408374e-05
88673 ,88946 ,0.00204772490695,0.00136498799583,2.79511991675e-06,0.00170635645139,3.02818476165e-06
88673 ,88979 ,0.000303311766366,0.00290792054434,8.82006516755e-07,0.00160561615535,4.27399995991e-06
88673 ,88980 ,0.00347664081659,0.00343249727127,1.19335601161e-05,0.00345456904393,1.19345344424e-05
88673 ,89018 ,0.00290111828042,0.00228680226534,6.63428385569e-06,0.00259396027288,6.82297593889e-06
88673 ,89019 ,0.00595410325884,0.00321868798572,1.9164400625e-05,0.00458639562228,2.29056489832e-05
88673 ,89174 ,0.0009420060966,0.00159864654904,1.5059347955e-06,0.00127032632282,1.72152313739e-06
88673 ,89175 ,0.0277560831192,0.0125419959104,0.00034811668097,0.0201490395148,0.000463850905768
88673 ,89189 ,0.00172191648952,0.0025860815524,4.45301646833e-06,0.00215399902096,4.82640709627e-06
88673 ,89211 ,0.0124831057041,0.0021634252428,2.70062659888e-05,0.00732326547345,8.02541684005e-05
88673 ,89212 ,0.00944553361493,0.00416997936261,3.93876802431e-05,0.00680775648877,5.33034165777e-05
88673 ,89241 ,0.000803010868503,0.00172085534506,1.38186554521e-06,0.00126193310678,1.80308478678e-06
88673 ,89242 ,0.018746761539,0.00172658025795,3.23677883737e-05,0.0102366708985,0.000177211073794
88673 ,89658 ,0.000801444728495,0.00223661168863,1.79252064754e-06,0.00151902820856,2.82237274928e-06
88673 ,89659 ,0.0212609245653,0.00238475191071,5.07020304805e-05,0.011822838238,0.000228856977523
88673 ,90191 ,0.00700922688668,0.00607765970959,4.25996958446e-05,0.00654344329814,4.30336045473e-05
88673 ,90192 ,0.0198241435188,0.00159161668139,3.15524375187e-05,0.0107078801001,0.000197764954957
88673 ,90193 ,0.0196023662155,0.00328913604632,6.44748493127e-05,0.0114457511309,0.00019753558859
88673 ,90194 ,0.00530015184099,0.00190327107418,1.00876256877e-05,0.00360171145758,1.58570251597e-05
88673 ,90227 ,0.0121892618019,0.00306555717317,3.73668789524e-05,0.00762740948753,7.89878720284e-05
88673 ,90228 ,0.0103789933786,0.00579380785422,6.01338933561e-05,0.00808640061643,7.06458565028e-05
